7810101,"Du lịch","D01; D14; D15; D78",16.5,19,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ Thông tin","A00; A01; C01; D90",18,19.5,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480103,"Kỹ thuật Phần mềm","A00; A01; C01; D90",16,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480104,"Hệ thống Thông tin","A00; A01; C01; D90",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật Điện","A00; A01; C01; D90",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật Điều khiển và tự động hóa","A00; A01; C01; D90",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật Cơ điện tử","A00; A01; C01; D90",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510205,"Công nghệ kỹ thuật ô tô","A00; A01; D01; D90",18,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520207,"Kỹ thuật điện tử - Viễn thông","A00; A01; C01; D90",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480205,"Trí tuệ nhân tạo và khoa học dữ liệu","A00; A01; C01; D90",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật Xây dựng","A00; A01; C01; D90",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","V00; V01; A00; A16",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7549001,"Kỹ nghệ gỗ (Công nghệ Chế biến lâm sản)","A00; A01; B00; D01",15,15,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580105,"Quy hoạch Vùng và Đô thị","V00; D01; A00; A16",15,15,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580107,"Quản lý Đô thị","V00; D01; A00; A16",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"Thiết kế Đồ họa","V00; V01; A00; D01",16,18.5,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210405,"Âm nhạc","M05; M07; M11; M03",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210407,"Mỹ thuật ứng dụng (Mỹ thuật)","D01; V00; V01; V05",15,16,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7229040,"Văn hóa học","C14; C00; D01; C15",15,16,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320104,"Truyền thông đa phương tiện","C00; D01; D09; V01",17,19,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7760101,"Công tác xã hội","C00; D01; C19; C15",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","D01; A01; D15; D78",17.5,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D01; D04; A01; D78",17.5,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220210,"Ngôn ngữ Hàn Quốc","D01; A01; D15; D78",18,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C14; C00; D01; A16",17.5,20,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310205,"Quản lý Nhà nước","C14; C00; D01; A16",15.5,19,600,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310201,"Chính trị học","C14; C00; D01; C19",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý Đất đai","A00; D01; B00; B08",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý Tài nguyên và Môi trường","A00; D01; B00; B08",15,16,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310206,"Quan hệ quốc tế","A00; C00; D01; D78",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật Môi trường","A00; D01; B00; B08",15,15,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440112,"Hóa học","A00; B00; D07; A16",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ Sinh học","A00; D01; B00; B08",15,16,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ Thực phẩm","A00; A02; B00; B08",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540106,"Đảm bảo chất lượng và an toàn thực phẩm","A00; A02; B00; B08",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7720401,"Dinh dưỡng","A00; D01; B00; D90",15,15,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310401,"Tâm lý học","C00; D01; C14; B08",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140101,"Giáo dục học","C00; D01; C14; C15",15,17,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7460101,"Toán học","A00; A01; D07; A16",15,18,550,25,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc (ARC)","A00; A01; V00; V02",20,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng (BCE)","A00; A01; D07",19,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh (BBA)","A00; A01; D01; D03; D05",20,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340202,"Tài chính và Kế toán (BFA)","A00; A01; D01; D03; D05",20,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480101,"Khoa học máy tính (CSE)","A00; A01; D07",23,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520208,"Kỹ thuật điện và máy tính (ECE)","A00; A01; D07",21,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520103,"Kỹ thuật cơ khí (MEN)","A00; A01; D07",21,0,0,26,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140114,"Quản lý giáo dục","A00; C00; D01; A01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140205,"Giáo dục Chính trị","C00; D01; C19",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140213,"Sư phạm Sinh học","B00; B08",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140206,"Giáo dục Thể chất","T00; T02; T03; T05",18,0,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140201,"Giáo dục mầm non",M00,19,0,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140202,"Giáo dục Tiểu học","A00; C00; D01",24,24.5,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140219,"Sư phạm Địa lý","A00; C00; D15",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140212,"Sư phạm Hóa học","A00; B00; D07",25,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140218,"Sư phạm Lịch sử","C00; C19; D14",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140217,"Sư phạm Ngữ văn","C00; D14; D15",23,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140231,"Sư phạm Tiếng Anh",D01,24,25,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140210,"Sư phạm Tin học","A00; A01; D01",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140209,"sư phạm Toán học","A00; A01",25,26,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140211,"Sư phạm Vật lý","A00; A01",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140247,"Sư phạm Khoa học tự nhiên","A00; B00",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7140249,"Sư phạm Lịch sử và địa lý","C00; C19; C20",19,24,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340302,"Kiểm toán","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"C00; D01; A00; C19",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng","A00; A01; D01",15,18,0,29,"2022-04-15 13:45:53","2022-04-15 13:45:53"
