7220201,"Ngôn ngữ Anh",A01,25.35,27.37,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh",D01,26.25,27.02,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101PH,"Luật (đào tạo tại Phân hiệu Đắk Lắk)",A00,18.4,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101PH,"Luật (đào tạo tại Phân hiệu Đắk Lắk)",A01,18.65,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101PH,"Luật (đào tạo tại Phân hiệu Đắk Lắk)",C00,22.75,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101PH,"Luật (đào tạo tại Phân hiệu Đắk Lắk)","D01; D02; D03; D05; D06",18,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101LK,"Luật (liên kết với Đại học Arizona, Hoa Kỳ)",A00,21.3,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101LK,"Luật (liên kết với Đại học Arizona, Hoa Kỳ)",A01,23.15,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101LK,"Luật (liên kết với Đại học Arizona, Hoa Kỳ)",C00,25.25,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101LK,"Luật (liên kết với Đại học Arizona, Hoa Kỳ)","D01; D02; D03; D05; D06",25.65,0,0,148,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",18.5,22.6,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - ngân hàng","A00; A01; D01; D07",18,21.1,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",18,21.5,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510601,"Quản lý công nghiệp","A00; A01; D01; D07",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510401,"Công nghệ kỹ thuật hoá học","A00; A01; B00; D07",18,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520502,"Kỹ thuật địa vật lý","A00; A01",16,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520604,"Kỹ thuật dầu khí","A00; A01",16,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520301,"Kỹ thuật hoá học (Chương trình tiên tiến)","A00; A01; B00; D07",19,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7440201,"Địa chất học","A00; A06; C04; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520501,"Kỹ thuật địa chất","A00; A04; C04; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580211,"Địa kỹ thuật xây dựng","A00; A04; C04; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810105,"Du lịch địa chất","A05; C04; D01; D10",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520503,"Kỹ thuật trắc địa - bản đồ","A00; C04; D01; D10",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850103,"Quản lý đất đai","A00; A01; C04; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480206,"Địa tin học","A00; C04; D01; D10",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520601,"Kỹ thuật mỏ","A00; A01; C01; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520607,"Kỹ thuật tuyển khoáng","A00; A01; D01; D07",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480109,"Khoa học dữ liệu","A00; A01; D01; D07",18,0,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; D07",20,25.3,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201_CLC,"Công nghệ thông tin CLC","A00; A01; D01; D07",22.5,0,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520103,"Kỹ thuật cơ khí","A00; A01; C01; D07",17,21.7,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520114,"Kỹ thuật cơ điện tử","A00; A01; C01; D07",18,22.76,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520116,"Kỹ thuật cơ khí động lực","A00; A01; C01; D07",17,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520201,"Kỹ thuật điện","A00; A01; C01; D07",17.5,20.6,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520216,"Kỹ thuật điều khiển và tự động hoá","A00; A01; C01; D07",20,24.26,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580201,"Kỹ thuật xây dựng","A00; A01; C01; D07",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580204,"Xây dựng công trình ngầm thành phố và Hệ thống tàu điện ngầm","A00; A01; C01; D07",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580205,"Kỹ thuật xây dựng công trình giao thông","A00; A01; C01; D07",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","A00; A01; B00; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7850101,"Quản lý tài nguyên môi trường","A00; B00; C04; D01",15,18,0,149,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210402,"Thiết kế công nghiệp (gồm 3 chuyên ngành: Thiết kế nội thất; Thiết kế thời trang; Thiết kế đồ họa)","H00; H01; H06",20.46,20,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01",24.9,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - ngân hàng","A00; A01; D01",24.7,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01",25.15,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340122,"Thương mại điện tử","A00; A01; D01",25.85,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,Luật,"A00; A01; D01",23.9,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế","A00; A01; D01",24.45,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380108,"Luật quốc tế","A00; A01; D01",23.9,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380101,"Luật (THXT C00)",C00,25.25,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107,"Luật kinh tế (THXT C00)",C00,26,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380108,"Luật quốc tế (THXT C00)",C00,24.75,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7420201,"Công nghệ sinh học","B00; A00; D07",16,18,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7540101,"Công nghệ thực phẩm","B00; A00; D07",16,18,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01",24.85,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510302,"Công nghệ kỹ thuật điện tử - viễn thông","A00; A01; C01; D01",21.65,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510303,"Công nghệ kỹ thuật điều khiển và tự động hóa","A00; A01; C01; D01",21.45,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành",D01,32.61,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810201,"Quản trị khách sạn",D01,33.18,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh",D01,34.27,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D01; D04",34.87,0,0,150,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210103,"Hội hoạ chuyên ngành Sơn mài","H00; H07",17.05,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210105,"Điêu khắc","H00; H07",17.1,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210107,Gốm,"H00; H07",17,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210402,"Thiết kế công nghiệp chuyên ngành Thiết kế trang sức","H00; H07",17.51,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"Thiết kế đồ hoạ","H00; H07",21.38,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210404,"Thiết kế thời trang","H00; H07",20,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"Thiết kế nội thất","H00; H07",19.32,0,0,151,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh",D01,36.75,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220202,"Ngôn ngữ Nga","D01; D02",33.95,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220203,"Ngôn ngữ Pháp","D01; D03",35.6,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220204,"Ngôn ngữ Trung Quốc","D01; D04",37.07,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
"7220204 CLC","Ngôn ngữ Trung Quốc - Chất lượng cao","D01; D04",36.42,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220205,"Ngôn ngữ Đức","D01; D05",35.53,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220206,"Ngôn ngữ Tây Ban Nha",D01,35.3,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220207,"Ngôn ngữ Bồ Đào Nha",D01,33.4,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220208,"Ngôn ngữ Italia",D01,34.78,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
"7220208 CLC","Ngôn ngữ Italia - Chất lượng cao",D01,33.05,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220209,"Ngôn ngữ Nhật","D01; D06",36.43,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220210,"Ngôn ngữ Hàn Quốc","D01; DD2",37.55,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
"7220210 CLC","Ngôn ngữ Hàn Quốc - Chất lượng cao","D01; DD2",36.47,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310111,"Nghiên cứu phát triển",D01,33.85,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310601,"Quốc tế học (dạy bằng tiếng Anh)",D01,35.2,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320104,"Truyền thông đa phương tiện (dạy bằng tiếng Anh)",D01,26.75,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320109,"Truyền thông doanh nghiệp (dạy bằng tiếng Pháp)","D01; D03",35.68,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh (dạy bằng tiếng Anh)",D01,35.92,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340115,"Marketing (dạy bằng tiếng Anh)",D01,36.63,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính - Ngân hàng (dạy bằng tiếng Anh)",D01,35.27,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán (dạy bằng tiếng Anh)",D01,35.12,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin (dạy bằng tiếng Anh)","A01; D01",26.05,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
"7480201 CLC","Công nghệ thông tin (dạy bằng tiếng Anh) - CLC","A01; D01",25.7,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7810103,"Quản trị dịch vụ du lịch và lữ hành (dạy bằng tiếng Anh)",D01,35.6,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
"7810103 CLC","Quản trị dịch vụ du lịch và lữ hành (dạy bằng tiếng Anh) - CLC",D01,34.55,0,0,153,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A01; D01; D07",26.5,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201_AP,"Tài chính ngân hàng (Chương trình Chất lượng cao)","A00; A01; D01; D07",26.5,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A01; D01; D07",26.4,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301_AP,"Kế toán (Chương trình Chất lượng cao)","A00; A01; D01; D07",26.4,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301_J,"Kế toán (Định hướng Nhật Bản. HVNH cấp bằng)","A00; A01; D01; D07",26.4,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A01; D01; D07",26.55,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101_AP,"Quản trị kinh doanh (Chương trình Chất lượng cao)","A00; A01; D01; D07",26.55,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340120,"Kinh doanh quốc tế","A01; D01; D07; D09",26.75,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107_A,"Luật kinh tế","A00; A01; D01; D07",26.35,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7380107_C,"Luật kinh tế","C00; D14; D15",27.55,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220201,"Ngôn ngữ Anh","A01; D01; D07; D09",26.5,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7310101,"Kinh tế","A00; A01; D01; D07",26.4,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340405,"Hệ thống thông tin quản lý","A00; A01; D01; D07",26.3,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340405_J,"Hệ thống thông tin quản lý (Định hướng Nhật Bản. HVNH cấp bằng)","A00; A01; D01; D07",26.3,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; D01; D07",26,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101_IV,"Quản trị kinh doanh (Liên kết với Đại học CityU, Hoa Kỳ. HVNH cấp bằng)","A00; A01; D01; D07",25.7,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101_IU,"Quản trị kinh doanh (Liên kết với Đại học CityU, Hoa Kỳ. Cấp song bằng HVNH và Đại học CityU)","A00; A01; D01; D07",25.7,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301_I,"Kế toán (Liên kết với Đại học Sunderland, Vương quốc Anh. Cấp song bằng HVNH và Đại học Sunderland)","A00; A01; D01; D07",24.3,0,0,154,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-01,"Nhóm ngành Luật",A00,28.05,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-01,"Nhóm ngành Luật","A01; D01; D07",27.55,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế",A00,28.5,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế","A01; D01; D03; D04; D06; D07",28,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH01-02,"Ngành Kinh tế; Kinh tế Quốc tế",D02,26.5,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn",A00,28.45,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH02,"Quản trị kinh doanh, Kinh doanh quốc tế, Quản trị khách sạn","A01; D01; D06; D07",27.95,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH03,"Nhóm ngành (Tài chính - Ngân Hàng; Kế toán)",A00,28.25,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH03,"Nhóm ngành (Tài chính - Ngân Hàng; Kế toán)","A01; D01; D07",27.75,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH04,"Ngôn ngữ Anh",D01,37.55,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH05,"Ngôn Ngữ Pháp",D01,36.75,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH05,"Ngôn Ngữ Pháp",D03,34.75,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH06,"Ngôn ngữ Trung",D01,39.35,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH06,"Ngôn ngữ Trung",D04,37.35,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH07,"Ngôn ngữ Nhật",D01,37.2,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH07,"Ngôn ngữ Nhật",D06,35.2,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NTH08,"Kế toán, Kinh doanh quốc tế","A00; A01; D01; D07",24,0,0,155,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580101,"Kiến trúc","A00; A03; A07; V00",15,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7210403,"Thiết kế đồ hoạ","C03; C04; C09; H00",20.25,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7580108,"Thiết kế nội thất","C03; C04; C09; H00",18,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340201,"Tài chính ngân hàng","A00; A07; C04; D01",18.75,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340101,"Quản trị kinh doanh","A00; A07; C04; D01",19.75,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7320108,"Quan hệ công chúng","C00; C19; C20; D01",19.75,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7340301,"Kế toán","A00; A07; C04; D01",19.75,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520320,"Kỹ thuật môi trường","B00; B01; B02; B03",18,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7510102,"Công nghệ kỹ thuật công trình xây dựng","A00; A07; C01; C04",18,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7220209,"Ngôn ngữ Nhật","A01; C00; D01; D63",18,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7480201,"Công nghệ thông tin","A00; A01; C04; D01",19.5,0,0,156,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860205,"Chỉ huy tham mưu Pháo binh","A00; A01",25.1,0,0,158,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860113,"Phòng cháy chữa cháy và cứu nạn, cứu hộ",A00,26.96,0,0,159,"2022-04-15 13:45:53","2022-04-15 13:45:53"
BIO1,"CÔNG NGHỆ SINH HỌC","A00; B00; B08; D07",17,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
CHE1,"KỸ THUẬT HÓA HỌC","A00; A01; B00; D07",17,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EEE1,"KỸ THUẬT ĐIỀU KHIỂN VÀ TỰ ĐỘNG HÓA","A00; A01; C01; D07",21,22.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EEE2,"KỸ THUẬT Y SINH (THIẾT BỊ ĐIỆN TỬ Y SINH)","A00; A01; C01; D07",20,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EEE3,"KỸ THUẬT ĐIỆN TỬ - VIỄN THÔNG (HỆ THỐNG NHÚNG THÔNG MINH VÀ IOT)","A00; A01; C01; D07",20,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
EEE-A1,"KỸ THUẬT ĐIỀU KHIỂN VÀ TỰ ĐỘNG HOÁ (TRÍ TUỆ NHÂN TẠO VÀ ROBOT - CÁC MÔN CHUYÊN NGÀNH HỌC BẰNG TIẾNG ANH)","A00; A01; C01; D07",22,24,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
ENV1,"KHOA HỌC MÔI TRƯỜNG (SỨC KHOẺ MÔI TRƯỜNG VÀ PHÁT TRIỂN BỀN VỮNG)","A00; A02; B00; B08",27,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FBE1,"QUẢN TRỊ KINH DOANH","A00; A01; D01; D07",19,21.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FBE2,"KẾ TOÁN","A00; A01; D01; D07",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FBE3,"TÀI CHÍNH - NGÂN HÀNG","A00; A01; D01; D07",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FBE4,"QUẢN TRỊ NHÂN LỰC","A00; A01; D01; D07",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FBES,"LUẬT KINH TẾ","A00; A01; C00; D01",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FLC1,"NGÔN NGỮ TRUNG QUỐC","A01; C00; D01; D04",22,22.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FLE1,"NGÔN NGỮ ANH","D01; D09; D14; D15",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FLK1,"NGÔN NGỮ HÀN QUỐC","A01; C00; D01; D15",22,22.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FSP1,"VẬT LÝ (VẬT LÝ TÀI NĂNG)","A00; A01",24,0,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FTS1,"DU LỊCH (QUẢN TRỊ DU LỊCH)","A01; C00; D01; D15",17,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
FTS2,"QUẢN TRỊ KHÁCH SẠN","A00; A01; D01; D10",17,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
ICT1,"CÔNG NGHỆ THÔNG TIN","A00; A01; D07",21.5,23,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
ICT-AI,"KHOA HỌC MÁY TÍNH (TRÍ TUỆ NHÂN TẠO VÀ KHOA HỌC DỮ LIỆU)","A00; A01; D07",22,24,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
ICT-V3,"CÔNG NGHỆ THÔNG TIN (CÔNG NGHỆ THÔNG TIN VIỆT NHẬT)","A00; A01; D07; D28",21,23,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
MEM1,"KỸ THUẬT CƠ ĐIỆN TỬ","A00; A01; A02; C01",17,20.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
MEM2,"KỸ THUẬT CƠ KHÍ","A00; A01; A02; C01",17,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
MSE1,"CÔNG NGHỆ VẬT LIỆU (VẬT LIỆU TIÊN TIẾN VÀ CÔNG NGHỆ NANO)","A00; A01; B00; D07",19.5,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
MSE-AI,"CÔNG NGHỆ VẬT LIỆU (VẬT LIỆU THÔNG MINH VÀ TRÍ TUỆ NHÂN TẠO)","A00; A01; B00; D07",27,23,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
MTT1,"KỸ THUẬT XÉT NGHIỆM Y HỌC","A00; A02; B00; D07",19,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
NUR1,"ĐIỀU DƯỠNG","A00; A02; B00; B04",19,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
PHA1,"DƯỢC HỌC","A00; A02; B00; D07",21,24,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
RET1,"KỸ THUẬT PHỤC HỒI CHỨC NĂNG","A00; A02; B00; D07",19,20,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
VEE1,"KỸ THUẬT Ô TÔ","A00; A01; A02; A10",18,21,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
VEE2,"KỸ THUẬT Ô TÔ (CƠ ĐIỆN TỬ Ô TÔ)","A00; A01; A04; A10",18,20.5,0,161,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520120,"Ngành Kỹ thuật Hàng không","A00; A01",24.8,0,0,162,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7860226,"Chỉ huy Tham mưu Phòng không, Không quân và Tác chiến điện tử","A00; A01",25.54,0,0,162,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520301,"Kỹ thuật hóa học (Lọc - Hóa dầu)","A00; D07",21,0,0,163,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520604,"Kỹ thuật dầu khí (Khoan - khai thác mỏ Dầu khí)","A00; D07",21,0,0,163,"2022-04-15 13:45:53","2022-04-15 13:45:53"
7520501,"Kỹ thuật địa chất (Địa chất - Địa vật lý Dầu khí)","A00; D07",21,0,0,163,"2022-04-15 13:45:53","2022-04-15 13:45:53"
QHE40,"Quản trị kinh doanh","A01; D01; D09; D10",36.2,0,0,164,"2022-04-15 13:45:53","2022-04-15 13:45:53"
QHE41,"Tài chính - ngân hàng","A01; D01; D09; D10",35.75,0,0,164,"2022-04-15 13:45:53","2022-04-15 13:45:53"
QHE42,"Kế toán","A01; D01; D09; D10",35.55,0,0,164,"2022-04-15 13:45:53","2022-04-15 13:45:53"
QHE43,"Kinh tế quốc tế","A01; D01; D09; D10",36.53,0,0,164,"2022-04-15 13:45:53","2022-04-15 13:45:53"
